question_text,meddic_element,buyer_persona,coaching_note,industry_segment
"Can you walk me through a day in the life of an order — from when a store or customer places it to when it's delivered?",Goals,LogisticsDirector,"This is the single most valuable question in manufacturing/distribution discovery. The answer maps their entire process and reveals every inefficiency, handoff, and manual step. Listen for: how many systems are touched, how much manual intervention happens, and where the bottlenecks are. This is your proof-of-value roadmap.",ManufacturingDistribution
"Are you running master routes today, and if so, how often are they updated?",Goals,LogisticsDirector,"Master routes are the foundation of distribution planning. Static master routes that haven't been re-optimized in months or years represent significant savings opportunity. If they say 'rarely' or 'never,' that's your opening — we typically see 15-20% mile reduction when re-routing is performed.",ManufacturingDistribution
"How much of the SAP or TMS-generated route does your planner actually use versus manually override?",IdentifyPain,OperationsAnalyst,"This is a critical question for manufacturing/distribution. If planners are overriding 50-70% of system-generated routes (as in the Metro case), the current system is essentially a data entry tool, not an optimization tool. High override rates = high PTV value.",ManufacturingDistribution
"How long does it take your routing team to build routes each day, and how many planning sessions do they run?",Metrics,OperationsAnalyst,"Planning time is a direct labor cost. If a router runs 6 sessions per day at 30-45 minutes each, that's 3-4 hours of manual work. PTV typically reduces this to 15 minutes per day. Quantify the labor savings: hours saved × fully loaded cost per planner.",ManufacturingDistribution
"What is your fully loaded cost per mile or kilometer, and how many miles does your fleet run annually?",Metrics,LogisticsDirector,"This is the foundation of your ROI calculation. Annual miles × cost per mile = total transportation spend. Even an 8-10% reduction in miles creates a compelling financial case. If they don't know the number, use $1.50/mile as a starting point and refine later.",ManufacturingDistribution
"Do you operate a private fleet, use a dedicated carrier, or a mix of both — and who owns the trailers versus the power?",Organization,LogisticsDirector,"The fleet ownership model determines both the solution scope and the ROI story. Private fleet = direct cost control. Dedicated carrier (like Wilson for Metro) = the savings story is about efficiency and audit. Mixed = both stories apply. This also determines whether telematics is relevant.",ManufacturingDistribution
"How many distribution centers or warehouses do you operate, and what commodity types do they handle?",Organization,LogisticsDirector,"Multi-DC operations with different commodity types (frozen, dry, produce, meat) add significant routing complexity — especially around temperature requirements and comingling restrictions. More complexity = more PTV value.",ManufacturingDistribution
"Are there restrictions on which products can be comingled on the same vehicle, and how do you manage that today?",IdentifyPain,FleetManager,"Temperature and product compatibility restrictions are a major source of routing complexity in food/distribution. If they're managing this manually or with rigid rules, PTV's constraint-based optimization is a direct solution. Ask about any pilot programs for multi-compartment vehicles.",ManufacturingDistribution
"What is your current on-time delivery rate, and what happens when a delivery is late or a stop is missed?",Metrics,LogisticsDirector,"OTD is the primary service metric in distribution. Late deliveries in food/retail have cascading effects — out-of-stocks, store penalties, customer dissatisfaction. Quantifying the cost of a missed delivery creates urgency.",ManufacturingDistribution
"How are your drivers paid — by the hour, by the mile, by the stop, or a combination?",Metrics,FleetManager,"Driver pay structure directly affects routing optimization. Pay-per-stop creates different incentives than pay-per-mile. Understanding this helps you model the savings correctly and identify whether driver behavior is a factor in inefficiency.",ManufacturingDistribution
"How do you handle same-day add-ons, backhauls, and off-cycle orders?",IdentifyPain,OperationsAnalyst,"Exception handling is where distribution operations break down. Same-day adds, backhauls, and promotional orders disrupt planned routes and create manual work. If this is a daily occurrence, it's a significant pain point that PTV's dynamic re-routing addresses.",ManufacturingDistribution
"Who currently owns the delivery schedule — transportation, sales operations, or the stores themselves?",People,LogisticsDirector,"In many distribution operations, sales or store operations controls delivery frequency and day assignment, not transportation. This creates a political dynamic where transportation can't optimize without buy-in from other departments. Understanding this is critical for scoping the project.",ManufacturingDistribution
"What existing systems are involved in your routing process — ERP, TMS, WMS, mobile, telematics?",Organization,ITArchitect,"The technology landscape in distribution is typically complex — SAP, EXE, Wilson Dispatch, Peoplenet, etc. Understanding the integration requirements early prevents surprises. Ask specifically about data flows: where does the route go after it's built?",ManufacturingDistribution
"Are you looking to replace your current routing system, or augment it?",DecisionCriteria,LogisticsDirector,"This is a critical scoping question. 'Augment' means PTV sits alongside existing systems and improves the output. 'Replace' means a larger project with more stakeholders. Metro wanted to augment SAP TM, not replace it. Understanding this shapes your proposal.",ManufacturingDistribution
"What is your rough annual transportation spend, and is it managed as a cost center within transportation or charged back to the stores?",Metrics,SupplyChainVP,"Transportation spend is your ROI baseline. But who bears the cost matters — if costs are charged back to stores, transportation may not feel the pain directly. In that case, you need to engage store operations or finance as part of the business case.",ManufacturingDistribution
"If you could perform a periodic re-route of your entire network — say annually or bi-annually — do you have a sense of how much you could save in miles?",PlansToOvercomeObstacles,LogisticsDirector,"This is a classic PTV value question for distribution. We typically see 15-20% mile reduction from a strategic re-route. If they're skeptical, anchor to their annual miles and cost per mile: even 10% on $6M spend is $600K. Ask if that seems directionally realistic.",ManufacturingDistribution
