question_text,meddic_element,buyer_persona,coaching_note,industry_segment
"What specific business event triggered this initiative — was it margin pressure, service failures, labor constraints, a sustainability mandate, or something else?",IdentifyPain,SupplyChainVP,"This is the most important opening question in any discovery. The triggering event tells you the urgency, the executive sponsor, and the emotional driver behind the project. A defensive trigger (cost control, service failures) requires a different conversation than an offensive one (growth, differentiation). Always start here.",
"Is this initiative primarily defensive — focused on cost control — or offensive, focused on growth and differentiation?",Goals,SupplyChainVP,"Defensive initiatives need ROI and payback period. Offensive initiatives need competitive differentiation and revenue impact. Knowing which lens the customer is using shapes your entire value story. Most logistics initiatives start defensive but have offensive implications — help them see both.",
"What executive KPI is most impacted by this initiative — EBIT, on-time performance, asset utilization, working capital, CO2, or customer retention?",Metrics,SupplyChainVP,"The executive KPI is your north star for the business case. Everything you present should connect back to this number. If they say EBIT, lead with cost reduction. If they say on-time %, lead with service improvement. If they say CO2, lead with route optimization's sustainability impact.",
"Who is the executive sponsor for this initiative, and what does personal success look like for them?",EconomicBuyer,SupplyChainVP,"The executive sponsor's personal success metric is the most important thing to understand. If their bonus is tied to a 10% cost reduction, that's your target. If they're trying to avoid a service penalty, that's your target. Align PTV's value to their personal outcome, not just the company's.",
"What happens financially or operationally if nothing changes — if this initiative doesn't move forward?",IdentifyPain,SupplyChainVP,"The cost of inaction is often more compelling than the benefit of action. If doing nothing means $2M in annual waste, a competitor advantage, or a regulatory fine, that creates urgency. This question also tests whether the pain is real or just theoretical.",
"Is this a board-level visibility initiative, or is it being driven at the operational level?",EconomicBuyer,SupplyChainVP,"Board-level visibility means the economic buyer is at the C-suite and the approval process will be formal. Operational-level means you may be able to move faster but need to build the case upward. Understanding the visibility level helps you calibrate your engagement strategy.",
"Can you walk me through the full lifecycle of an order — from entry through planning, dispatch, execution, settlement, and reporting?",Organization,LogisticsDirector,"This is the foundational discovery question from PTV's global playbook. The answer maps the entire operation and reveals every inefficiency, handoff, and manual step. Take detailed notes — this becomes the 'current state' section of your value engineering presentation.",
"How many orders do you process per day, and how much does that vary by season or peak period?",Metrics,OperationsAnalyst,"Order volume drives fleet size, planning complexity, and cost structure. Seasonal variability is important — a system that works at average volume may break at peak. Understanding peak volume helps you size the solution correctly and identify the highest-stress scenarios.",
"Are time windows committed at point of sale, and are they static or dynamically calculated based on routing capacity?",DecisionCriteria,LogisticsDirector,"Static time windows that aren't connected to routing capacity lead to missed commitments and re-deliveries. Dynamic scheduling (where POS checks true routing availability) is a significant differentiator. If they're committing windows without routing validation, there's both a cost and a revenue opportunity.",
"What percentage of orders are same-day or add-ons, and how does your team handle them?",IdentifyPain,FleetManager,"Same-day and add-on orders are a major source of planning disruption. If they represent more than 10-15% of volume, dynamic optimization becomes essential. Understanding how they handle exceptions reveals the manual workarounds and associated costs.",
"How is route planning performed today — manual, Excel, a legacy optimizer, or a TMS-embedded tool?",IdentifyPain,OperationsAnalyst,"The planning method determines the baseline you're improving from. Manual planning has the highest savings potential. Legacy optimizers often have significant gaps. TMS-embedded tools are usually basic. Understanding the current tool helps you position PTV's optimization depth as a differentiator.",
"How many planners are involved in routing, and how much time do they spend planning each day?",Metrics,OperationsAnalyst,"Planning labor is a direct, quantifiable cost. If 3 planners spend 2 hours each per day on routing, that's 6 hours × planner cost × 250 days = significant annual labor. PTV typically reduces planning time by 30-60%. Capture the number of planners and their fully loaded cost.",
"What is your average number of stops per route, and what is the average route length in miles or kilometers?",Metrics,FleetManager,"Stops per route and route length are the two inputs needed to calculate annual miles and transportation spend. Confirm whether they operate in miles or kilometers. These numbers, combined with cost per mile, give you the financial baseline for the ROI model.",
"Do you operate centralized dispatch or branch-level dispatch, and are there plans to centralize?",Organization,LogisticsDirector,"Centralized dispatch is a significant efficiency opportunity — it enables network-wide optimization rather than local sub-optimization. If they're running branch dispatch across 40 locations, each branch is making independent decisions that may be collectively inefficient. Centralization is often a 10-15% additional savings opportunity.",
"What is your current on-time delivery performance, and what are the primary root causes when deliveries are missed?",Metrics,LogisticsDirector,"On-time performance is the primary service KPI in logistics. Understanding the root causes of misses (routing errors, traffic, driver behavior, time window conflicts) helps you position the specific PTV capabilities that address each cause. Get the current OTD % and the target.",
"How much overtime are your drivers running per week, and what is the primary driver of that overtime?",Metrics,FleetManager,"Overtime is a direct, quantifiable cost. Capture: overtime hours per driver per week × number of drivers × overtime rate × 52 weeks = annual overtime cost. PTV optimization typically reduces overtime by 20-30% by building tighter, more efficient routes. This is often one of the largest ROI components.",
"Do you have a sense of how much idle time your fleet accumulates daily, and are there any speed management practices in place?",Metrics,FleetManager,"Idle time and speed management are fuel cost drivers. One hour of idle time burns approximately one gallon of fuel. Reducing average speed by 5 MPH improves fuel efficiency by 0.5 MPG. Capture: fleet size × idle hours × fuel cost = annual idle cost. We typically see 15% fuel efficiency improvement with telematics.",
"How do you estimate out-of-route miles today — do you have any visibility into how much extra distance your drivers are covering?",Metrics,OperationsAnalyst,"Out-of-route miles are a direct measure of routing inefficiency. If drivers are covering 10-15% more miles than the optimal route, that's a direct cost reduction opportunity. Plan vs. actual reporting is the tool that makes this visible and manageable.",
"How many inbound calls does your customer service team handle daily related to delivery status or ETAs?",Metrics,LogisticsDirector,"Inbound 'where is my order' calls are a quantifiable cost. If CSRs handle 50 calls per day at 5 minutes each, that's 4+ hours of labor daily. Real-time tracking and proactive notifications eliminate most of these calls. Capture: calls per day × handle time × CSR cost.",
"How many vehicles do you operate daily, and what types — box trucks, tractor-trailers, reefers, light duty?",Organization,FleetManager,"Fleet size and composition are the foundation of the financial model. Vehicle type affects routing constraints (weight limits, height restrictions, temperature requirements). Capture both the number and the mix — this determines the complexity of the optimization problem and the scope of the solution.",
"What is your fully loaded cost per mile or kilometer — including fuel, driver labor, maintenance, depreciation, and insurance?",Metrics,LogisticsDirector,"Fully loaded cost per mile is the single most important financial input. If they don't know it, use $1.50/mile as a US starting point and refine. In Europe, use €1.20-1.50/km. This number × annual miles = total transportation spend, which is your ROI baseline. Always confirm the unit (miles vs km) and currency.",
"What ERP, WMS, TMS, and routing systems are currently in use, and how well do they integrate today?",Organization,ITArchitect,"The technology landscape determines integration complexity and timeline. Ask specifically: where do orders originate, how does the route get to the warehouse, and how does execution data get back to the ERP. Integration gaps are often the biggest implementation risk — identify them early.",
"What are your hosting requirements — is SaaS acceptable, or do you require private cloud or on-premise deployment?",DecisionCriteria,ITArchitect,"Hosting requirements can be a deal-qualifier or deal-killer. SaaS is the fastest path to value. On-premise mandates add implementation complexity and cost. Data residency requirements (especially in Europe) may require specific hosting configurations. Identify these constraints before proposing.",
"Are there data residency, security, or compliance requirements we should understand — SOC2, ISO 27001, penetration testing, or security questionnaires?",DecisionCriteria,ITArchitect,"Enterprise security requirements add time to the sales cycle. Understanding them early lets you involve the right technical resources and set realistic timelines. PTV's compliance certifications should be confirmed against their specific requirements before the technical evaluation.",
"How does your organization typically evaluate and approve enterprise software vendors — is there a formal RFP process?",DecisionProcess,SupplyChainVP,"The evaluation process determines your timeline and competitive exposure. A formal RFP means defined criteria and multiple vendors. An informal evaluation means you have more influence over the criteria. Understanding the process early helps you navigate it strategically rather than reactively.",
"Who internally is most invested in solving this problem and helping move the initiative forward?",Champion,LogisticsDirector,"This is the champion identification question from PTV's global playbook. The person most invested in solving the problem is your natural champion. They have the motivation, the credibility, and the access to drive the project internally. Identify them early and build the relationship.",
"Is there a specific timeline or milestone driving when a decision needs to be made?",DecisionProcess,SupplyChainVP,"A compelling event (budget cycle, contract expiration, peak season, board presentation) creates urgency. Without a compelling event, deals drift. If there's no natural deadline, help them create one by connecting the initiative to a business milestone that already has urgency.",
"If the value we model together proves accurate, how meaningful would that be for the organization — and would it justify an enterprise rollout?",PlansToOvercomeObstacles,SupplyChainVP,"This is the commitment qualification question from PTV's global playbook. It tests whether the customer is serious about acting on the value, not just validating it. A strong 'yes' means you have a real opportunity. A weak response means you need to understand what's holding them back.",
"Before moving forward commercially, can we validate the discovery findings and value assumptions with your leadership team?",PlansToOvercomeObstacles,SupplyChainVP,"Executive validation is the bridge between discovery and proposal. If the customer agrees to present the findings to leadership, you have a champion who is willing to advocate internally. This step also ensures the business case is grounded in numbers the customer owns, not just numbers you provided.",
"What are the top three risks your organization sees in a project like this — and what would need to be true to mitigate them?",Obstacles,ITArchitect,"Risk identification is a sign of a mature buyer. Understanding their top risks lets you address them proactively in your proposal. Common risks: integration complexity, change management, implementation timeline, and ROI realization. For each risk, have a specific mitigation strategy ready.",
"Do you have a preferred contract structure — annual, multi-year, or a ramp commitment — and what are your payment terms expectations?",DecisionProcess,SupplyChainVP,"Commercial structure affects both the deal timeline and the total contract value. Multi-year commitments often unlock better pricing. Ramp commitments reduce risk for the customer. Understanding their preferences early helps you structure a proposal that fits their procurement process.",
