question_text,meddic_element,buyer_persona,coaching_note,industry_segment
"Can you walk me through a day in the life of an order — from when a customer places it to when it's delivered and invoiced?",Goals,LogisticsDirector,"The day-in-the-life question is the most valuable question in building supply discovery. Building supply has unique complexity: break/fix demand (apartment maintenance, contractor orders), variable order sizes, and customers who expect same-day or next-day delivery. Listen for: how many systems are touched, how much manual intervention happens, and where the bottlenecks are.",BuildingSupply
"What is your order cut-off time, and when does routing typically start and finish?",IdentifyPain,OperationsAnalyst,"In building supply, late order cut-offs (3-5 PM) compress the routing window dramatically. If routing starts at 4-5 AM the next morning, planners are working blind on incomplete order sets. Understanding the cut-off-to-route timeline reveals the planning pressure and the opportunity for automation.",BuildingSupply
"How are your routes built today — is it a manual process, and how long does it take per day?",IdentifyPain,FleetManager,"Building supply routing is often highly manual — planners come in at 4-5 AM and build routes from scratch. If it takes 45 minutes to route plus 30 minutes negotiating with drivers, that's over an hour of daily labor that PTV can reduce to 15 minutes. Quantify: hours saved × planner cost.",BuildingSupply
"After routing is complete, how much time do drivers spend negotiating or modifying their routes?",IdentifyPain,FleetManager,"Driver negotiation is a hidden cost unique to building supply. Drivers often push back on routes based on customer relationships or personal preferences. This 'negotiation time' (often 30+ minutes) is pure waste that disappears when routes are objectively optimized and the data backs up the plan.",BuildingSupply
"What is your current overtime rate, and what are the primary drivers of overtime?",Metrics,LogisticsDirector,"19% overtime (as seen in HD Supply) is a significant cost. In building supply, overtime is often driven by poor pre-staging, late order cuts, and inefficient routing. Quantify: overtime hours × overtime rate × number of drivers. Even a 5% reduction is substantial.",BuildingSupply
"How are your trucks loaded today — is product pre-staged by customer before the driver arrives, or do drivers load their own trucks?",IdentifyPain,FleetManager,"Pre-staging is a major efficiency driver in building supply. If drivers are loading their own trucks without a sequence, they're spending 1-2 hours on warehouse work before they even leave the DC. This directly causes overtime and late deliveries. Ask: are orders consolidated by customer at the dock, or scattered?",BuildingSupply
"Do you have multiple DCs serving the same geographic market, and are vehicles ever shared across DCs?",Organization,LogisticsDirector,"Multiple DCs in the same metro area (like HD Supply's 4 DCs in LA) is a significant inefficiency. Network optimization can determine which DC should serve which customers, potentially eliminating redundant routes. This is a strategic re-route opportunity worth 15-20% mile reduction.",BuildingSupply
"What is the rule today for deciding whether an order goes on the private fleet versus a parcel carrier like UPS?",IdentifyPain,OperationsAnalyst,"The fleet vs. parcel decision is often made with crude rules (e.g., 'anything under 22 lbs goes UPS') that aren't enforced consistently. This creates situations where 1-lb packages go on the fleet and 20-lb packages go UPS — both suboptimal. PTV's mode optimization makes this decision automatically based on true cost.",BuildingSupply
"How do you currently decide which DC should service which customer, and when was the last time that assignment was reviewed?",Goals,LogisticsDirector,"DC-to-customer assignment in building supply is often historical and never re-optimized. If they have 4 DCs in a metro area and haven't done a network optimization, there's almost certainly a 15-20% mile reduction opportunity just from reassigning customers to the right DC.",BuildingSupply
"What percentage of your orders are same-day or break/fix in nature, and how does that affect your routing process?",IdentifyPain,FleetManager,"Break/fix demand (apartment maintenance, contractor emergency orders) is the defining characteristic of building supply. It creates dynamic, unpredictable order sets that are hard to route efficiently. Understanding the % of same-day orders helps determine whether static master routes or dynamic optimization is the right fit.",BuildingSupply
"How are customer time windows managed today, and what percentage of customers have specific delivery windows?",DecisionCriteria,OperationsAnalyst,"Building supply customers often have large windows (8-5) with some tighter exceptions. The key question is whether the routing system is actually respecting these windows or just approximating. If windows are being missed, there's a customer satisfaction and re-delivery cost to quantify.",BuildingSupply
"Do you have a sense of how efficient your routes are today — how full are your trucks on average, and how much overtime are drivers running?",Metrics,LogisticsDirector,"Utilization and overtime are the two primary financial metrics in building supply. Low utilization means you're running too many trucks. High overtime means routes are too long or poorly sequenced. Both are directly addressable with PTV optimization.",BuildingSupply
"How is driver productivity monitored today — do you have any plan vs. actual reporting?",Metrics,FleetManager,"Most building supply operations have no quantitative driver productivity program. If drivers are paid hourly with no performance metrics, there's typically 30-60 minutes of 'buffer' per driver per day. PTV's plan vs. actual reporting creates the accountability structure to eliminate this.",BuildingSupply
"What is your current process for proof of delivery — paper-based or digital, and what happens to the paperwork at end of day?",IdentifyPain,OperationsAnalyst,"Paper POD in building supply creates multiple cost layers: paper/printing costs, manual re-keying into ERP, delayed invoicing, and disputed credits. We typically see $0.75-$1.00 per stop in savings when going digital. Ask: how many stops per day × $0.75 = annual savings opportunity.",BuildingSupply
"How many customer credits do you write annually, and what are the primary reasons — shorts, damages, or disputed deliveries?",Metrics,LogisticsDirector,"Credits are a direct measure of delivery quality. In building supply, credits often stem from shorts (product not delivered), damages (not documented at delivery), and disputed invoices. Digital POD with scanning and signature capture eliminates most of these. Quantify the annual credit amount.",BuildingSupply
"What is your current invoicing cycle — how many days after delivery does the customer receive an invoice?",Metrics,LogisticsDirector,"Invoicing delay is a cash flow issue. If invoices go out 2-3 days after delivery, that's 2-3 days of DSO that could be eliminated with real-time digital POD. For a $50M revenue business, each day of DSO reduction is significant working capital improvement.",BuildingSupply
"Are your drivers carrying paper logs today, and how is DOT compliance managed?",DecisionCriteria,FleetManager,"DOT compliance is a liability issue in building supply. Paper logs are error-prone and create audit risk. Automated ELD/HOS logs eliminate driver time filling out logs (typically 15 min/day) and reduce DOT fine exposure. Ask: have they been audited or fined in the last 5 years?",BuildingSupply
