question_text,meddic_element,buyer_persona,coaching_note,industry_segment
Where in your operation do you feel like you're doing a lot of work — but not getting the results you should?,IdentifyPain,Any,"SESSION OPENER. This question targets effort vs. outcome mismatch — where inefficiency lives. People resist admitting problems but love talking about wasted effort. Listen for: re-routing mid-day, throwing bodies at peak times, dispatch scrambling, planning taking hours. Then bridge to MEDDIC: Metrics (how often / what cost?), Economic Impact (if 20% better, what changes?), Decision Criteria (planning or execution?), Champion (who feels this most?). This single question can unlock the entire discovery.",
What does success look like for your logistics operation 12 months from now?,Goals,LogisticsDirector,"Goals anchors the entire conversation. Without knowing what success looks like, you cannot connect PTV's value to their outcomes. Listen for specific metrics, timelines, or strategic language — these become your proof points later.",
"If you could change one thing about how your fleet operates today, what would it be?",Goals,FleetManager,This surfaces the rep's most pressing frustration in their own words. The answer often reveals the real pain before you've even asked about it directly. Use their exact language when you follow up.,
What are the top two or three strategic priorities your supply chain team is focused on this year?,Goals,SupplyChainVP,"VPs think in strategic priorities, not operational problems. Connecting PTV to a stated priority dramatically shortens the sales cycle. If routing isn't on their list, you need to understand why before positioning.",
What outcomes is your leadership team expecting from any investment in routing or scheduling technology?,Goals,SupplyChainVP,"This reveals the internal success criteria the customer will use to evaluate you. If you don't know what leadership expects, you can't build a business case that gets approved.",
What would a successful implementation of a new routing solution mean for your team day-to-day?,Goals,FleetManager,Fleet managers care about what changes for them personally. This question shifts the conversation from abstract ROI to concrete daily impact — which is what drives adoption and internal advocacy.,
How does improving delivery performance connect to your broader business objectives?,Goals,LogisticsDirector,"This links operational improvement to business strategy. If the director can articulate this connection, they can make the case to their CFO. If they can't, you need to help them build that narrative.",
What does your organization need to achieve in the next 18 months that your current tools are making difficult?,Goals,SupplyChainVP,"The 18-month frame creates urgency without pressure. It surfaces initiatives already in motion that PTV can attach to, rather than asking them to create a new project from scratch.",
What would need to be true for this initiative to be considered a success by your leadership?,Goals,OperationsAnalyst,Analysts often know the internal success criteria better than anyone. This question helps you understand the measurement framework before you propose a solution.,
What specific operational outcomes are you trying to drive with better routing capability?,Goals,LogisticsDirector,"Specificity matters here. Vague answers like 'improve efficiency' need to be probed. Push for numbers — cost per stop, on-time rate, overtime hours. These become your ROI anchors.",
How do your logistics goals align with what the broader business is trying to accomplish this year?,Goals,SupplyChainVP,"Supply chain VPs are judged on business outcomes, not operational metrics. Understanding the business context helps you position PTV as a strategic investment, not a cost center.",
What would it mean for your customers if you could consistently hit your delivery windows?,Goals,LogisticsDirector,This reframes the conversation around customer impact. Delivery performance affects customer retention and revenue — not just internal efficiency. This is a powerful framing for the economic buyer.,
"If we fast-forward two years, what does your ideal logistics operation look like?",Goals,SupplyChainVP,A longer time horizon reveals ambition and strategic vision. It also surfaces initiatives they haven't started yet — which is where PTV can position as a foundational capability.,
What is the single most important thing your team needs to get right in the next six months?,Goals,FleetManager,Urgency and priority in one question. The answer tells you whether there's a burning platform — and whether PTV can be part of the solution in their near-term window.,
How are your logistics goals tied to customer retention or growth targets?,Goals,LogisticsDirector,"Connecting logistics to revenue makes the business case much stronger. If late deliveries are causing churn, the ROI of fixing routing is directly measurable in customer lifetime value.",
What does your leadership team consider a win when it comes to last-mile or field service performance?,Goals,SupplyChainVP,"Leadership's definition of a win is the ultimate success criterion. If you can show PTV delivers that win, you have a compelling case for the economic buyer.",
"What would you need to stop doing, or do differently, to hit your operational goals?",Goals,OperationsAnalyst,This surfaces the gap between current state and desired state. The answer often reveals process inefficiencies or technology limitations that PTV directly addresses.,
How are you currently measuring the efficiency of your delivery or field service operations?,Metrics,LogisticsDirector,"You cannot sell improvement without a baseline. If they don't measure it, they can't prove ROI — and neither can you. This question also reveals data maturity and whether they can quantify the problem.",
"What does your cost-per-delivery or cost-per-stop look like today, and where do you want it to be?",Metrics,LogisticsDirector,Cost-per-delivery is the single most powerful ROI metric for PTV. Even a small improvement across thousands of stops creates a compelling financial case. Get the number — even an estimate.,
"How do you track on-time delivery performance, and what is your current rate?",Metrics,FleetManager,OTD is the most visible metric in logistics. A gap between current and target OTD is a direct proof point for routing optimization. Listen for the delta — that's your value story.,
"What KPIs does your team report on regularly, and which ones are you most concerned about?",Metrics,OperationsAnalyst,The KPIs they report on are the ones that matter to leadership. The ones they're concerned about are the ones with the most pain. Both are important for building your business case.,
How much of your fleet capacity is being utilized on a typical day?,Metrics,FleetManager,"Low utilization means wasted assets. High utilization with poor performance means inefficient routing. Either way, there's a PTV story. This number also helps size the opportunity.",
What is the financial impact of a 1% improvement in delivery efficiency for your business?,Metrics,SupplyChainVP,This question forces the customer to quantify the value themselves — which is far more credible than any number you could provide. Even a rough estimate creates a compelling ROI anchor.,
How do you currently measure the productivity of your drivers or field technicians?,Metrics,FleetManager,"Driver productivity is directly tied to routing quality. If they measure stops per hour or jobs per day, you can show how optimized routing improves those numbers without adding headcount.",
"What does your average route planning time look like, and how does that affect your operations?",Metrics,OperationsAnalyst,"Planning time is a hidden cost that's easy to quantify. If planners spend 3 hours a day on manual routing, that's a direct labor cost PTV can reduce. It also affects how quickly they can respond to disruptions.",
How do you quantify the cost of a failed delivery or a missed service window?,Metrics,LogisticsDirector,"Failed deliveries have direct costs (re-delivery, customer credits) and indirect costs (churn, reputation). Getting this number makes the ROI case for reliability improvements concrete and compelling.",
What reporting does your team rely on to make operational decisions today?,Metrics,OperationsAnalyst,Understanding their reporting tells you how data-driven they are and what visibility they have. Gaps in reporting are often gaps in optimization — and an opportunity to show PTV's analytics value.,
"What is your current vehicle utilization rate, and how does that compare to your target?",Metrics,FleetManager,"Utilization gaps represent direct cost savings. If they're running at 70% when they could be at 85%, that's 15% more capacity without adding vehicles — a powerful financial argument.",
How do you measure the impact of route changes or disruptions on your overall performance?,Metrics,OperationsAnalyst,"Disruption handling is where many routing systems fail. If they can't measure the impact, they likely can't manage it well. This opens the door to PTV's dynamic re-routing capabilities.",
"What does your fuel cost per kilometer or mile look like, and how much variability do you see?",Metrics,LogisticsDirector,Fuel is typically 25-35% of fleet operating costs. Route optimization directly reduces fuel consumption. Even a 5% reduction across a large fleet is a significant annual saving.,
"How do you track driver hours against planned schedules, and what does the variance look like?",Metrics,FleetManager,Variance between planned and actual hours reveals routing inefficiency and overtime costs. This is a direct PTV value story — better routes mean drivers finish on time and overtime drops.,
"What is your average number of stops per route, and how does that compare to your theoretical optimum?",Metrics,OperationsAnalyst,The gap between actual and optimal stops per route is a direct measure of routing inefficiency. This question helps quantify the improvement opportunity in concrete operational terms.,
How do you measure customer satisfaction in relation to your delivery performance?,Metrics,LogisticsDirector,"Connecting delivery performance to customer satisfaction scores (NPS, CSAT) links operational improvement to revenue retention. This is a powerful argument for the economic buyer.",
Who in your organization ultimately owns the decision to invest in a solution like this?,EconomicBuyer,LogisticsDirector,"Without the economic buyer, deals stall. This question identifies who has budget authority early, so you can plan your engagement strategy. The answer also tells you how complex the approval process will be.",
"Beyond yourself, who else would need to be involved in approving a project of this scope?",EconomicBuyer,FleetManager,Fleet managers rarely have budget authority for enterprise software. This question surfaces the approval chain without making them feel bypassed. Use the answer to plan your multi-threading strategy.,
Who controls the budget for technology investments in your supply chain or logistics function?,EconomicBuyer,SupplyChainVP,Even VPs sometimes don't control the budget. Understanding the budget owner helps you tailor your business case to the right person and avoid surprises late in the process.,
"Is this decision made at the business unit level, or does it require corporate approval?",EconomicBuyer,SupplyChainVP,Corporate approval processes can add months to a deal. Knowing this early helps you set realistic timelines and identify whether you need to engage at a higher level in the organization.,
Who would be the executive sponsor for a project like this in your organization?,EconomicBuyer,LogisticsDirector,"An executive sponsor accelerates deals and protects them from budget cuts. If there isn't one yet, this question plants the seed that one is needed — and gives you a target to engage.",
What does the approval process look like for a capital investment of this size?,EconomicBuyer,OperationsAnalyst,Understanding the approval process helps you build a realistic timeline and identify all the stakeholders you need to influence. Surprises in the approval process are a leading cause of deal delays.,
"Are there other stakeholders — finance, IT, operations — who would need to sign off?",EconomicBuyer,LogisticsDirector,Multi-stakeholder deals require a multi-threaded approach. Identifying all the sign-off parties early means you can engage them proactively rather than reactively when the deal is at risk.,
